domain,name,path,expires_utc,is_secure,is_httponly,creation_utc,expires_date,creation_date
.msn.com,MUID,/service/msn,0,True,False,1.34161462004707E+016,Never,2026-02-21 19:16:40
.msn.com,MUID,/service/news/feed/pages,0,True,False,1.34161461795692E+016,Never,2026-02-21 19:16:19
.msn.com,MUID,/service/segments/recoitems,0,True,False,1.34161496316904E+016,Never,2026-02-21 20:13:51
.msn.com,MUIDB,/content/view/v2/Detail/nl-nl,0,True,False,1.34161496576387E+016,Never,2026-02-21 20:14:17
.msn.com,MUIDB,/service/Graph,0,True,False,1.3416149662414E+016,Never,2026-02-21 20:14:22
.msn.com,MUIDB,/service/community/urls,0,True,False,1.34161496633669E+016,Never,2026-02-21 20:14:23
.msn.com,MUIDB,/service/community/users,0,True,False,1.34161496606561E+016,Never,2026-02-21 20:14:20
.msn.com,MUIDB,/service/msn,0,True,False,1.34161462004707E+016,Never,2026-02-21 19:16:40
.msn.com,MUIDB,/service/news/feed/pages,0,True,False,1.34161496410347E+016,Never,2026-02-21 20:14:01
.msn.com,MUIDB,/service/segments/recoitems,0,True,False,1.34161496316904E+016,Never,2026-02-21 20:13:51
.c.msn.com,SM,/,0,True,False,1.34161461806333E+016,Never,2026-02-21 19:16:20
.msn.com,USRLOC,/,1.34317035873635E+016,True,True,1.341614617524E+016,2026-08-20 20:46:27,2026-02-21 19:16:15
assets.msn.com,_C_Auth,/content/view/v2/Detail/nl-nl,0,False,False,1.34161496576386E+016,Never,2026-02-21 20:14:17
assets.msn.com,_C_Auth,/service/Graph,0,False,False,1.3416149662414E+016,Never,2026-02-21 20:14:22
assets.msn.com,_C_Auth,/service/community/urls,0,False,False,1.34161496633669E+016,Never,2026-02-21 20:14:23
assets.msn.com,_C_Auth,/service/community/users,0,False,False,1.3416149660656E+016,Never,2026-02-21 20:14:20
assets.msn.com,_C_Auth,/service/msn,0,False,False,1.34161462004707E+016,Never,2026-02-21 19:16:40
assets.msn.com,_C_Auth,/service/news/feed/pages,0,False,False,1.34161461795691E+016,Never,2026-02-21 19:16:19
assets.msn.com,_C_Auth,/service/segments/recoitems,0,False,False,1.34161496316904E+016,Never,2026-02-21 20:13:51
www.msn.com,_C_Auth,/nl-nl,0,False,False,1.34161496340742E+016,Never,2026-02-21 20:13:54
www.msn.com,_C_Auth,/nl-nl/sport/voetbal/trainer-toont-geen-genade-en-zet-feyenoord-huurling-uit-de-selectie,0,False,False,1.34161515873635E+016,Never,2026-02-21 20:46:27
.msn.com,_C_ETH,/,0,True,True,1.34161515922119E+016,Never,2026-02-21 20:46:32
.msn.com,_EDGE_S,/,0,True,True,1.34161461749557E+016,Never,2026-02-21 19:16:14
www.channelnewsasia.com,incap_ses_1576_1015034,/,0,False,False,1.34161515981267E+016,Never,2026-02-21 20:46:38
api.x.com,lang,/,0,False,False,1.34161515746572E+016,Never,2026-02-21 20:46:14
.msn.com,msnup,/,1.34239275901821E+016,True,True,1.34161461795692E+016,2026-05-22 20:46:30,2026-02-21 19:16:19
www.channelnewsasia.com,visid_incap_1015034,/,1.34317035981266E+016,False,True,1.34161515981266E+016,2026-08-20 20:46:38,2026-02-21 20:46:38
www.channelnewsasia.com,country_code,/,1.3418743603E+016,False,False,1.34161516037225E+016,2026-03-23 20:46:43,2026-02-21 20:46:43
www.channelnewsasia.com,incap_ses_1009_1015034,/,0,False,False,1.34161516224974E+016,Never,2026-02-21 20:47:02
www.channelnewsasia.com,incap_ses_478_1015034,/,0,False,False,1.34161516183794E+016,Never,2026-02-21 20:46:58
www.channelnewsasia.com,incap_ses_629_1015034,/,0,False,False,1.34161516198053E+016,Never,2026-02-21 20:46:59
www.channelnewsasia.com,nlbi_1015034,/,0,False,True,1.34161516198051E+016,Never,2026-02-21 20:46:59
www.channelnewsasia.com,incap_ses_416_1015034,/,0,False,False,1.34161516477172E+016,Never,2026-02-21 20:47:27
www.channelnewsasia.com,incap_ses_475_1015034,/,0,False,False,1.34161516555171E+016,Never,2026-02-21 20:47:35
www.channelnewsasia.com,incap_ses_1577_1015034,/,0,False,False,1.34161519122751E+016,Never,2026-02-21 20:51:52
www.channelnewsasia.com,incap_ses_417_1015034,/,0,False,False,1.34161519249599E+016,Never,2026-02-21 20:52:04
